Height (in), Weight (lbs), Sex
73.17, 226.34, Male
68.98, 164.33, Male
62.43, 194.8, Female
62.83, 110.61, Female
70.58, 205.85, Male
65.87, 123.67, Female
68.42, 134.49, Female
72.02, 185.5, Male
69.28, 179.49, Male
64.03, 121.16, Female
66.55, 127.3, Female
67.81, 179.57, Male
61.68, 168.55, Female
64.12, 111.64, Female
65.11, 136.98, Female
64.41, 145.28, Male
70.89, 132.97, Male
66.59, 132.29, Male
66.77, 143.92, Female
73.8, 199.12, Male
66.63, 166.18, Male
70.76, 130.75, Male
64.85, 157.17, Female
68.36, 173.6, Male
60.19, 131.04, Female
70.22, 141.5, Male
73.1, 191.58, Male
70.94, 186.08, Male
70.57, 187.3, Male
68.63, 189.75, Male
63.48, 108.43, Female
61.44, 135.65, Female
75.89, 157.27, Male
61.88, 116.32, Female
67.9, 153.85, Male
71.67, 130.81, Male
61.13, 118.64, Female
65.01, 102.71, Female
61.03, 159.1, Female
77.15, 209.32, Male
69.4, 156.57, Male
68.86, 227.66, Male
58.35, 92.36, Female
60.37, 156.07, Female
69.71, 169.93, Male
62.02, 123.55, Female
66.41, 158.85, Female
67.71, 186.69, Male
58.2, 117.95, Female
70.15, 163.16, Male
69.35, 169.45, Male
60.39, 171.29, Female
64.81, 134.72, Female
65.34, 166.85, Male
72.9, 182.12, Male
61.1, 104.55, Female
70.54, 191.42, Male
68.75, 148.84, Male
70.62, 185.14, Male
66.78, 148.68, Male
63.16, 177.75, Female
71.94, 169.27, Male
63.79, 141.46, Female
61.7, 138.47, Female
67.94, 114.04, Female
61.76, 113.04, Female
64.97, 142.91, Female
69.48, 184.19, Male
62.32, 129.03, Female
63.4, 157.71, Female
58.6, 127.92, Female
69.28, 180.95, Male
68.39, 157.53, Female
73.91, 161.99, Male
61.32, 136.61, Female
70.75, 172.44, Male
63.94, 190.75, Female
71.81, 186.5, Male
74.53, 184.49, Male
66.48, 151.04, Female
70.57, 175.85, Male
61.86, 136.75, Female
61.56, 99.55, Female
70.74, 140.52, Male
70.38, 176.24, Female
65.63, 152.63, Male
71.25, 154.01, Male
60.57, 124.19, Female
58.77, 166.23, Female
61.27, 139.55, Female
75.06, 227.53, Male
69.03, 179.04, Male
69.27, 162.71, Male
65.59, 112.99, Female
67.2, 171.45, Male
65.13, 124.44, Female
66.76, 155.06, Male
65.42, 110.42, Female
67.47, 160.87, Female
75.84, 201.19, Male
62.05, 118.27, Female
72.54, 186.87, Male
62.74, 141.25, Female
70.31, 169.01, Male
66.82, 183.8, Female
63.06, 119.45, Female
71.89, 182, Male
68.59, 169.53, Male
64.23, 127.78, Female
71.68, 132, Male
69.45, 158.36, Male
71.84, 217.12, Male
65.23, 132.42, Female
71.12, 227.77, Male
64.14, 109.26, Female
62.49, 169.51, Female
60.97, 100.35, Female
69.67, 187.53, Male
74.95, 189.76, Male
67.23, 144.1, Female
71.51, 188.51, Male
68.56, 145.22, Female
